Date,Price
10-05-17,14550
11-05-17,14550
12-05-17,14500
15-05-17,14500
16-05-17,14500
17-05-17,14500
18-05-17,14350
19-05-17,14300
22-05-17,14300
23-05-17,14250
24-05-17,14250
25-05-17,14250
26-05-17,14200
30-05-17,14200
31-05-17,14150
01-06-17,14100
02-06-17,14050
05-06-17,14100
06-06-17,14100
07-06-17,14150
08-06-17,14200
09-06-17,14200
12-06-17,14300
13-06-17,14300
14-06-17,14350
15-06-17,14350
16-06-17,14350
19-06-17,14350
20-06-17,14350
21-06-17,14350
22-06-17,14350
23-06-17,14300
26-06-17,14300
27-06-17,14300
28-06-17,14300
29-06-17,14300
30-06-17,14300
03-07-17,14300
04-07-17,14300
05-07-17,14320
06-07-17,14350
07-07-17,14350
10-07-17,14350
11-07-17,14350
12-07-17,14350
13-07-17,14350
14-07-17,14350
17-07-17,14350
18-07-17,14350
19-07-17,14350
20-07-17,14350
21-07-17,14350
24-07-17,14350
25-07-17,14450
26-07-17,14550
27-07-17,14650
28-07-17,14700
31-07-17,15000
01-08-17,15200
02-08-17,15250
03-08-17,15250
04-08-17,15250
07-08-17,15250
08-08-17,15150
10-08-17,15350
11-08-17,15350
14-08-17,15550
15-08-17,15950
16-08-17,16050
17-08-17,16150
18-08-17,16650
21-08-17,17350
22-08-17,17650
23-08-17,18050
24-08-17,18150
25-08-17,18150
28-08-17,18150
29-08-17,18050
30-08-17,17950
31-08-17,17950
01-09-17,17850
04-09-17,17350
05-09-17,16950
06-09-17,16550
07-09-17,16350
08-09-17,15950
11-09-17,15350
12-09-17,15050
13-09-17,14650
14-09-17,14650
15-09-17,14850
18-09-17,14850
19-09-17,14850
20-09-17,14850
21-09-17,14750
22-09-17,14550
26-09-17,14350
27-09-17,14250
28-09-17,14250
29-09-17,14150
09-10-17,14150
10-10-17,14150
11-10-17,14150
12-10-17,14150
13-10-17,14150
16-10-17,14150
17-10-17,14150
18-10-17,14150
19-10-17,14150
20-10-17,14150
23-10-17,14150
24-10-17,14100
25-10-17,14100
26-10-17,14100
27-10-17,14100
30-10-17,14100
31-10-17,14150
01-11-17,14150
02-11-17,14150
03-11-17,14250
06-11-17,14250
07-11-17,14250
08-11-17,14250
09-11-17,14250
10-11-17,14250
13-11-17,14200
14-11-17,14200
15-11-17,14250
16-11-17,14250
17-11-17,14250
20-11-17,14250
21-11-17,14250
22-11-17,14250
23-11-17,14250
24-11-17,14200
27-11-17,14150
28-11-17,14050
29-11-17,14000
30-11-17,13950
01-12-17,13950
04-12-17,14050
05-12-17,14450
06-12-17,14950
07-12-17,15450
08-12-17,16550
11-12-17,16550
12-12-17,16550
13-12-17,16050
14-12-17,15600
15-12-17,15150
18-12-17,14650
19-12-17,14450
20-12-17,14550
21-12-17,14750
22-12-17,14950
25-12-17,15050
26-12-17,15050
27-12-17,15050
28-12-17,15050
29-12-17,14850
02-01-18,14650
03-01-18,14600
04-01-18,14550
05-01-18,14500
08-01-18,14500
09-01-18,14600
10-01-18,14600
11-01-18,14600
12-01-18,14550
15-01-18,14550
16-01-18,14550
17-01-18,14550
18-01-18,14650
19-01-18,14750
22-01-18,14750
23-01-18,15050
24-01-18,15050
25-01-18,15050
26-01-18,15050
29-01-18,15050
30-01-18,15050
31-01-18,15150
01-02-18,15150
02-02-18,15250
05-02-18,15250
06-02-18,15250
07-02-18,15250
08-02-18,15250
09-02-18,15250
22-02-18,15250
23-02-18,15250
26-02-18,15250
27-02-18,15250
28-02-18,15250
01-03-18,15200
02-03-18,15100
05-03-18,15000
06-03-18,14900
07-03-18,14800
08-03-18,14700
09-03-18,14650
12-03-18,14650
13-03-18,14650
14-03-18,14650
15-03-18,14650
16-03-18,14650
19-03-18,14650
20-03-18,14750
21-03-18,14800
22-03-18,14900
23-03-18,15050
26-03-18,15050
27-03-18,15000
28-03-18,14900
29-03-18,14850
30-03-18,14750
02-04-18,14750
03-04-18,14750
04-04-18,14750
09-04-18,14850
10-04-18,14950
11-04-18,14950
12-04-18,15000
16-04-18,15000
17-04-18,15000
18-04-18,15000
19-04-18,15100
20-04-18,15150
23-04-18,15150
24-04-18,15150
25-04-18,15150
26-04-18,15050
27-04-18,15050
02-05-18,15050
03-05-18,15100
04-05-18,15200
07-05-18,15200
08-05-18,15200
09-05-18,15250
10-05-18,15250
11-05-18,15350
14-05-18,15550
15-05-18,15550
16-05-18,15550
17-05-18,15700
18-05-18,15700
21-05-18,15700
22-05-18,15700
23-05-18,15650
24-05-18,15550
25-05-18,15550
28-05-18,15550
29-05-18,15550
30-05-18,15550
31-05-18,15550
01-06-18,15500
04-06-18,15500
05-06-18,15500
06-06-18,15500
07-06-18,15550
08-06-18,15550
11-06-18,15550
12-06-18,15650
13-06-18,15650
14-06-18,15650
15-06-18,15750
19-06-18,15750
20-06-18,15750
21-06-18,15750
22-06-18,15750
25-06-18,15750
26-06-18,15850
27-06-18,16050
28-06-18,16250
29-06-18,16450
02-07-18,16550
03-07-18,16550
04-07-18,16550
05-07-18,16550
06-07-18,16550
09-07-18,16500
10-07-18,16400
11-07-18,16350
12-07-18,16250
